keys,en
kinematicbody2d_sidescrollmovement,"The move_and_slide() method is also useful for topdown movement. When the KinematicBody2D collides with an obstacle, it will slide alway from it avoiding getting stuck."
kinematicbody2d_stompmechanic,"KinematicBodies allow us to access collision's data, such as the normal and the collider, like for this stomp mechanic."
kinematicbody2d_movingplatforms,"KinematicBodies can be used for any collision body that moves in the game. This includes moving platforms."
kinematicbody2d_rotatingbodies,"Using Sync to Physics also works for angular movement, such as opening bridges and spinning platforms."
kinematicbody2d_wallslideandjump,"Another good use case for KinematicBodies is to detect motion relative collisions, such as detecting walls, ceilling, and floor. Excellent for wall sliding and wall jump."
kinematicbody2d_passthroughmechanics,"By manipulating KinematicBody2D's collision masks we can pass through platforms. Press down and jump together to fall."
kinematicbody2d_pushrigidbodies,"You can interact with a RigidBody2D. To push a rock, we turn off the kinematic body's infinite inertia and apply impulses to the rigid body on contact."
kinematicbody2d_topdownmovement,"The move_and_slide() method is also useful for topdown movement. When the KinematicBody2D collides with an obstacle, it will slide alway from it avoiding getting stuck."
kinematicbody2d_topdownpushmovement,"KinematicBody2Ds can also interact with each other and apply forces. For instance, we can use the `move_and_slide()` on colliders that are in the `rock` group so our player can push them."
kinematicbody_platformermovement3d,"KinematicBodies are ideal for 3D platformers, mode_and_slide() ensures we can smoothly navigate the world without getting stuck."
kinematicbody_snapping3d,"The move_and_slide_with_snap() allows you to set a snap vector that glues the character to the ground, try toggling snapping on and off with E."
kinematicbody_stompmechanic3d,"KinematicBodies allow us to access collision's data, such as the normal and the collider, like for this stomp mechanic."
kinematicbody_movingplatforms3d,"KinematicBodies can be used for any collision body that moves in the game. This includes moving platforms."
kinematicbody_rotatingplatforms3d,"Using Sync to Physics also works for angular movement, such as opening bridges and spinning platforms."
kinematicbody_wallslideandjump3d,"Another good use case for KinematicBodies is to detect motion relative collisions, such as detecting walls, ceilling, and floor. Excellent for wall sliding and wall jump."
kinematicbody_pushrigidbodies3d,"You can interact with a RigidBody. To push a rock, we turn off the kinematic body's infinite inertia and apply impulses to the rigid body on contact."
kinematicbody_fpsmovement,"KinematicBody is also the goto option for FPS character controllers."
richtextlabel_bbcodes,"RichTextLabels let you display lot's of text with formatting and animation using bbcodes.
press space or enter to see some."
richtextlabel_chatbox,"They are also great for displaying lot's of text you might need to scroll though like a chat box."
richtextlabel_tooltip,"Using RichTextLabels you can detect when a mouse is hovering over text with the meta_hover_started() signal. This can let you make custom tooltips."
richtextlabel_custombbcode,"You can code and use text effects to animate or modify part of your RichTextLabel's text."
area2d_sign,"Areas detect when something enters them, like the player touching a sign."
area2d_coins,"You can use areas for collectibles, like to attract coins to the player."
area2d_enemies,"With an area, you can detect when an entity is close to another and initiate pursuit."
area2d_door,"You can open and close the door by moving on the pressure plate. The plate is an Area2D."
area2d_rocks,"Finally, areas can override the world's physics properties and work as attractors.
Similarly, they can also force sound to flow through a specific audio mixer channel."
area2d_hurtbox,"Often, two areas are used. Notice how the enemy's hurtbox (red) which can hurt you, is small, while the hitbox (green, big) is larger to allow you to hit them easily.
Use Z to attack."
area2d_chestscene,"Areas can be used for chests, levers, and other context-sensitive actions (use Z to open the chest)"
area2d_complexshapes,"A single area can have as many shapes as you want.
Use CollisionShape2D for convex shapes and CollisionPolygon2D for complex concave shapes."
raycast2d_lineofsight,"You can use ray casts for an AI's line of sight.
Here, if the ray collides, something is in the way and the ship can't lock onto the player."
raycast2d_lineofsightmanyrays,"By casting multiple rays, you can improve your AI's vision. The simplest way is to fan them out, as in this example."
raycast2d_lasersight,"RayCast2D is perfect for line-based weapons like lasers, as well as rifles, as you can check the distance to colliders."
raycast2d_hitscan,"Here's an example of a Gattling gun which uses only one RayCast2D node to scan the environment."
raycast2d_detectfloor,"In this demo, we use the ray to find the floor (the planets). Combined with areas, it allows us to jump from planet to planet."
raycast2d_edgedetection,"You can also use raycasts to detect the edges of platforms.
Here, the character stops, but you could use that to play a peek animation."
raycast2d_boids,"Those AIs detect walls with two RayCast2D nodes and use them to steer away from obstacles."
tween_movement,"Tweens let you animate to and from dynamic values, for example
moving this ship to the current mouse position. Left-click to move the ship."
tween_dynamicstrength,"Or dynamically changing the size of an explosion."
tween_progressbar,"Using  interpolate method lets us animate
a changing progress bar and it's colour in the same function."
tween_poppingui,"You can use the tween_all_completed callback to trigger animations in a sequence."
tween_springanimation3d,"Tweens work in 3D too! They can interpolate properties on Spatial nodes such as translation and scale. Click the button to animated the spring."
tween_collectibleuitween,"We can animate objects towards UI elements to provide feedback to players.
Try dragging the card around."
tween_carddraw3d,"A single tween node can smoothly animate more than one object.
Click on the purple deck of cards to draw a card."
camera2d_attachcamera,"Camera2D can follow a 2D node around the game world, keeping them on-screen."
camera2d_dragmargin,"Drag margins hold the screen steady, until the camera's parent moves closer to the edge of the screen. This is great for steadying the camera on fast-moving players."
camera2d_levellimits,"A Camera2D can stop itself from scrolling past a point in the world, using the Limit property."
camera2d_mousepan,"You can pan a camera without changing its position to inspect your surroundings. Move the mouse cursor to adjust the camera's Offset property."
camera2d_rotatecamera,"Camera2Ds can optionally rotate with their parent. Few games use this feature, but you'll find the occasional opportunity to rotate the camera in pure top-down games."
camera2d_randomscreenshake,"Pass over the switch to shake the view. This screenshake uses random numbers on the Offset property."
camera2d_noisescreenshake2d,"You can also use a noise generator for a smoother shake effect. This demo uses Godot's OpenSimplexNoise resource."
camera2d_cyclecameras,"You can cycle cameras by setting a different camera to Current, as a way to quickly jump the camera around the game."
camera2d_smoothtransition,"Press Interact to smoothly transition the view. This moves a single camera's position, and takes advantage of its built-in Smoothing property."
camera2d_zoom,"Zoom controls the framing of the scene, allowing us to get an overview of the world."
camera2d_zoomtofit,"You can adjust Zoom and Offset together to fit two targets on-screen."
label_displaytext,"Label's display whatever text you want to show."
label_alignment,"You can position the text with horizontal and vertical alignment options."
label_animatedtext,"You can animate labels to write out their text using the percent visible property."
rigidbody2d_kinematicvsrigidbody2d,"RigidBodies are used for objects you want to be influenced by physics, and can be used to make player controllers that interacts well with physics objects."
rigidbody2d_sidescrollerrigid,"RigidBodies are even more convenient when dealing with sidescrollers as you can let the engine handle gravity for you."
rigidbody2d_shootingrocket,"They are ideal for projectiles that bounce or react to a collision like grenades and rockets."
rigidbody2d_shootingcannon,"And structures that you want to be destructible. Click to shoot."
rigidbody2d_ragdoll,"RigidBodies have modes that can make them behave differently in different contexts, such as if you want to turn a body into a ragdoll."
rigidbody2d_delaunayexplosion,"RigidBodies are ideal for destructible objects. You can use the triangulate_delaunay_2d function to dynamically create exploded polygons, try clicking on the asteroids for an example."
rigidbody_kinematicvsrigidbody3d,"RigidBodies are used for objects you want to be influenced by physics, and can be used to make player controllers that interacts well with physics objects."
rigidbody_shootinggrenade3d,"They are ideal for projectiles that bounce or react to a collision like grenades and rockets. Click to shoot."
rigidbody_shootingcannon3d,"And structures that you want to be destructible. Click to shoot."
rigidbody_shattering3d,"RigidBodies are ideal for destructible objects. Here we replace the crates with a shattered version of the model when it needs to break, try clicking on the crates to shatter them."
rigidbody_planetgravity3d,"Rigid bodies are great for making complicated situations like multiple gravity points easier to handle."
remotetransform2d_clawarmscreen,"You can move rigid bodies and other physics objects, regardless of where they are in the scene tree."
remotetransform2d_uionplayer,"Using the update properties, a node can inherit the position of another node without its rotation or scale."
remotetransform2d_lockoncrosshair,"You can move one object between multiple remotes by setting and clearing their remote path property."
remotetransform2d_mapview,"You can use RemoteTransform2D to synchronize a map view with the game world."
remotetransform2d_zipline,"You can attach RemoteTransform2D to other constraints - like a PathFollow2D - to create ziplines and other mechanisms."
viewport_splitscreen,"To create a split screen situation, you can use two viewports."
viewport_screenshots,"Viewports render image data which you can save on the device running the game."
